"lake","scenario","folder","manning","bulk","Hb_m","peak_Q_input_m3s","released_vol_m3","peak_depth_m","peak_vel_p95","peak_vel_max","wetted_area_km2","wetted_cells","h4_area_km2","depth_file","vel_file","extracted"
"L29","Low","L29_Low",0.05,1,37.5,892.8,1077100,12.5,2.13,3.67,2.041,2268,1.453,"hecras_models/L29_Passu/L29_Low/Depth (Max).Terrain.Terrain.L29_terrain_final.tif","hecras_models/L29_Passu/L29_Low/Velocity (Max).Terrain.Terrain.L29_terrain_final.tif","2026-08-20"
"L29","Mid_baseline","L29_Mid",0.05,1,37.5,1258.1,2154200,13.38,2.53,4.5,2.806,3118,2.408,"hecras_models/L29_Passu/L29_Mid/Depth (Max).Terrain.Terrain.L29_terrain_final.tif","hecras_models/L29_Passu/L29_Mid/Velocity (Max).Terrain.Terrain.L29_terrain_final.tif","2026-08-20"
"L29","High","L29_High",0.05,1,37.5,1547.2,3231300,13.78,2.85,4.88,3.033,3370,2.77,"hecras_models/L29_Passu/L29_High/Depth (Max).Terrain.Terrain.L29_terrain_final.tif","hecras_models/L29_Passu/L29_High/Velocity (Max).Terrain.Terrain.L29_terrain_final.tif","2026-08-20"
"L29","Mid_n04","L29_Mid_n04",0.04,1,37.5,1258.1,2154200,13.3,3.01,5.48,2.777,3086,2.433,"hecras_models/L29_Passu/L29_Mid_n04/Depth (Max).Terrain.Terrain.L29_terrain_final.tif","hecras_models/L29_Passu/L29_Mid_n04/Velocity (Max).Terrain.Terrain.L29_terrain_final.tif","2026-08-20"
"L29","Mid_n06","L29_Mid_n06",0.06,1,37.5,1258.1,2154200,13.43,2.18,3.82,2.825,3139,2.377,"hecras_models/L29_Passu/L29_Mid_n06/Depth (Max).Terrain.Terrain.L29_terrain_final.tif","hecras_models/L29_Passu/L29_Mid_n06/Velocity (Max).Terrain.Terrain.L29_terrain_final.tif","2026-08-20"
"L29","Mid_bulk1.5","L29_Mid_b15",0.05,1.5,37.5,1887.1,3231300,13.87,2.96,4.99,3.064,3405,2.81,"hecras_models/L29_Passu/L29_Mid_b15/Depth (Max).Terrain.Terrain.L29_terrain_final.tif","hecras_models/L29_Passu/L29_Mid_b15/Velocity (Max).Terrain.Terrain.L29_terrain_final.tif","2026-08-20"
"L29","Mid_bulk2.0","L29_Mid_b20",0.05,2,37.5,2516.1,4308400,14.51,3.31,5.38,3.277,3641,3.068,"hecras_models/L29_Passu/L29_Mid_b20/Depth (Max).Terrain.Terrain.L29_terrain_final.tif","hecras_models/L29_Passu/L29_Mid_b20/Velocity (Max).Terrain.Terrain.L29_terrain_final.tif","2026-08-20"
"L27","Low","L27_Low",0.05,1,134,9829,10200000,27.35,7.06,12.47,6.045,6717,5.782,"hecras_models/L27_Shisper/L27_Low/Depth (Max).Terrain.L27_terrain.tif","hecras_models/L27_Shisper/L27_Low/Velocity (Max).Terrain.L27_terrain.tif","2026-08-20"
"L27","Mid_baseline","L27_Mid",0.05,1,134,12546,16600000,30.29,7.66,15.84,9.368,10409,9.004,"hecras_models/L27_Shisper/L27_Mid/Depth (Max).Terrain.L27_terrain.tif","hecras_models/L27_Shisper/L27_Mid/Velocity (Max).Terrain.L27_terrain.tif","2026-08-20"
"L27","High","L27_High",0.05,1,134,14775.6,2.3e+07,32.44,8.33,18.4,10.641,11823,10.4,"hecras_models/L27_Shisper/L27_High/Depth (Max).Terrain.L27_terrain.tif","hecras_models/L27_Shisper/L27_High/Velocity (Max).Terrain.L27_terrain.tif","2026-08-20"
"L27","Mid_n04","L27_Mid_n04",0.04,1,134,12546,16600000,29.97,9.04,19.32,9.268,10298,8.96,"hecras_models/L27_Shisper/L27_Mid_n04/Depth (Max).Terrain.L27_terrain.tif","hecras_models/L27_Shisper/L27_Mid_n04/Velocity (Max).Terrain.L27_terrain.tif","2026-08-20"
"L27","Mid_n06","L27_Mid_n06",0.06,1,134,12546,16600000,30.5,6.77,13.42,8.851,9834,8.508,"hecras_models/L27_Shisper/L27_Mid_n06/Depth (Max).Terrain.L27_terrain.tif","hecras_models/L27_Shisper/L27_Mid_n06/Velocity (Max).Terrain.L27_terrain.tif","2026-08-20"
"L27","Mid_bulk1.5","L27_Mid_bulk1.5",0.05,1.5,134,18818.9,24900000,33.45,8.93,19.49,11.059,12288,10.846,"hecras_models/L27_Shisper/L27_Mid_bulk1.5/Depth (Max).Terrain.L27_terrain.tif","hecras_models/L27_Shisper/L27_Mid_bulk1.5/Velocity (Max).Terrain.L27_terrain.tif","2026-08-20"
"L27","Mid_bulk2.0","L27_Mid_bulk2.0",0.05,2,134,25091.9,33200000,35.99,9.95,21.91,12.124,13471,11.998,"hecras_models/L27_Shisper/L27_Mid_bulk2.0/Depth (Max).Terrain.L27_terrain.tif","hecras_models/L27_Shisper/L27_Mid_bulk2.0/Velocity (Max).Terrain.L27_terrain.tif","2026-08-20"
"L27","Partial_45","L27_p45",0.05,NA,60,3763.8,7470000,25.54,5.35,9.85,4.988,5542,4.467,"hecras_models/L27_Shisper/L27_p45/Depth (Max).Terrain.L27_terrain.tif","hecras_models/L27_Shisper/L27_p45/Velocity (Max).Terrain.L27_terrain.tif","2026-08-20"
"L27","Partial_28","L27_p28",0.05,NA,37,1828.1,4648000,22.97,4.45,7.29,2.427,2697,2.209,"hecras_models/L27_Shisper/L27_p28/Depth (Max).Terrain.L27_terrain.tif","hecras_models/L27_Shisper/L27_p28/Velocity (Max).Terrain.L27_terrain.tif","2026-08-20"
