"time_seconds","time_minutes","Q_m3_s"
0,0,0
5,0.0833333333333333,2.82
10,0.166666666666667,7.9
15,0.25,14.37
20,0.333333333333333,21.92
25,0.416666666666667,30.35
30,0.5,39.51
35,0.583333333333333,49.32
40,0.666666666666667,59.69
45,0.75,70.55
50,0.833333333333333,81.85
55,0.916666666666667,93.54
60,1,105.57
65,1.08333333333333,117.92
70,1.16666666666667,130.54
75,1.25,143.4
80,1.33333333333333,156.49
85,1.41666666666667,169.76
90,1.5,183.21
95,1.58333333333333,196.81
100,1.66666666666667,210.55
105,1.75,224.39
110,1.83333333333333,238.34
115,1.91666666666667,252.36
120,2,266.46
125,2.08333333333333,280.61
130,2.16666666666667,294.8
135,2.25,309.02
140,2.33333333333333,323.26
145,2.41666666666667,337.51
150,2.5,351.76
155,2.58333333333333,366.01
160,2.66666666666667,380.23
165,2.75,394.43
170,2.83333333333333,408.6
175,2.91666666666667,422.72
180,3,436.8
185,3.08333333333333,450.83
190,3.16666666666667,464.8
195,3.25,478.7
200,3.33333333333333,492.53
205,3.41666666666667,506.28
210,3.5,519.96
215,3.58333333333333,533.55
220,3.66666666666667,547.05
225,3.75,560.46
230,3.83333333333333,573.77
235,3.91666666666667,586.98
240,4,600.09
245,4.08333333333333,613.09
250,4.16666666666667,625.99
255,4.25,638.77
260,4.33333333333333,651.43
265,4.41666666666667,663.98
270,4.5,676.41
275,4.58333333333333,688.71
280,4.66666666666667,700.9
285,4.75,712.95
290,4.83333333333333,724.88
295,4.91666666666667,736.68
300,5,748.35
305,5.08333333333333,759.89
310,5.16666666666667,771.3
315,5.25,782.57
320,5.33333333333333,793.7
325,5.41666666666667,804.7
330,5.5,815.56
335,5.58333333333333,826.29
340,5.66666666666667,836.87
345,5.75,847.32
350,5.83333333333333,857.62
355,5.91666666666667,867.79
360,6,877.81
365,6.08333333333333,887.7
370,6.16666666666667,897.44
375,6.25,907.04
380,6.33333333333333,916.5
385,6.41666666666667,925.81
390,6.5,934.99
395,6.58333333333333,944.02
400,6.66666666666667,952.91
405,6.75,961.66
410,6.83333333333333,970.27
415,6.91666666666667,978.74
420,7,987.06
425,7.08333333333333,995.25
430,7.16666666666667,1003.29
435,7.25,1011.2
440,7.33333333333333,1018.96
445,7.41666666666667,1026.59
450,7.5,1034.07
455,7.58333333333333,1041.42
460,7.66666666666667,1048.63
465,7.75,1055.71
470,7.83333333333333,1062.64
475,7.91666666666667,1069.44
480,8,1076.11
485,8.08333333333333,1082.64
490,8.16666666666667,1089.04
495,8.25,1095.3
500,8.33333333333333,1101.43
505,8.41666666666667,1107.43
510,8.5,1113.3
515,8.58333333333333,1119.04
520,8.66666666666667,1124.64
525,8.75,1130.12
530,8.83333333333333,1135.48
535,8.91666666666667,1140.7
540,9,1145.8
545,9.08333333333333,1150.77
550,9.16666666666667,1155.62
555,9.25,1160.35
560,9.33333333333333,1164.95
565,9.41666666666667,1169.43
570,9.5,1173.79
575,9.58333333333333,1178.04
580,9.66666666666667,1182.16
585,9.75,1186.16
590,9.83333333333333,1190.05
595,9.91666666666667,1193.82
600,10,1197.48
605,10.0833333333333,1201.02
610,10.1666666666667,1204.45
615,10.25,1207.77
620,10.3333333333333,1210.98
625,10.4166666666667,1214.08
630,10.5,1217.06
635,10.5833333333333,1219.95
640,10.6666666666667,1222.72
645,10.75,1225.39
650,10.8333333333333,1227.95
655,10.9166666666667,1230.41
660,11,1232.77
665,11.0833333333333,1235.02
670,11.1666666666667,1237.17
675,11.25,1239.23
680,11.3333333333333,1241.18
685,11.4166666666667,1243.04
690,11.5,1244.8
695,11.5833333333333,1246.47
700,11.6666666666667,1248.04
705,11.75,1249.51
710,11.8333333333333,1250.9
715,11.9166666666667,1252.19
720,12,1253.39
725,12.0833333333333,1254.5
730,12.1666666666667,1255.53
735,12.25,1256.46
740,12.3333333333333,1257.31
745,12.4166666666667,1258.08
750,12.5,1258.76
755,12.5833333333333,1259.35
760,12.6666666666667,1259.87
765,12.75,1260.3
770,12.8333333333333,1260.65
775,12.9166666666667,1260.92
780,13,1261.11
785,13.0833333333333,1261.23
790,13.1666666666667,1261.26
795,13.25,1261.23
800,13.3333333333333,1261.11
805,13.4166666666667,1260.93
810,13.5,1260.67
815,13.5833333333333,1260.34
820,13.6666666666667,1259.93
825,13.75,1259.46
830,13.8333333333333,1258.92
835,13.9166666666667,1258.31
840,14,1257.63
845,14.0833333333333,1256.89
850,14.1666666666667,1256.08
855,14.25,1255.21
860,14.3333333333333,1254.27
865,14.4166666666667,1253.27
870,14.5,1252.21
875,14.5833333333333,1251.08
880,14.6666666666667,1249.9
885,14.75,1248.65
890,14.8333333333333,1247.35
895,14.9166666666667,1245.99
900,15,1244.58
905,15.0833333333333,1243.11
910,15.1666666666667,1241.58
915,15.25,1240
920,15.3333333333333,1238.36
925,15.4166666666667,1236.68
930,15.5,1234.94
935,15.5833333333333,1233.15
940,15.6666666666667,1231.31
945,15.75,1229.42
950,15.8333333333333,1227.48
955,15.9166666666667,1225.49
960,16,1223.46
965,16.0833333333333,1221.38
970,16.1666666666667,1219.25
975,16.25,1217.08
980,16.3333333333333,1214.87
985,16.4166666666667,1212.61
990,16.5,1210.31
995,16.5833333333333,1207.97
1000,16.6666666666667,1205.58
1005,16.75,1203.16
1010,16.8333333333333,1200.7
1015,16.9166666666667,1198.19
1020,17,1195.65
1025,17.0833333333333,1193.08
1030,17.1666666666667,1190.46
1035,17.25,1187.81
1040,17.3333333333333,1185.12
1045,17.4166666666667,1182.4
1050,17.5,1179.64
1055,17.5833333333333,1176.85
1060,17.6666666666667,1174.03
1065,17.75,1171.18
1070,17.8333333333333,1168.29
1075,17.9166666666667,1165.37
1080,18,1162.42
1085,18.0833333333333,1159.44
1090,18.1666666666667,1156.44
1095,18.25,1153.4
1100,18.3333333333333,1150.34
1105,18.4166666666667,1147.25
1110,18.5,1144.13
1115,18.5833333333333,1140.98
1120,18.6666666666667,1137.81
1125,18.75,1134.62
1130,18.8333333333333,1131.4
1135,18.9166666666667,1128.16
1140,19,1124.89
1145,19.0833333333333,1121.6
1150,19.1666666666667,1118.29
1155,19.25,1114.95
1160,19.3333333333333,1111.6
1165,19.4166666666667,1108.22
1170,19.5,1104.82
1175,19.5833333333333,1101.41
1180,19.6666666666667,1097.97
1185,19.75,1094.52
1190,19.8333333333333,1091.04
1195,19.9166666666667,1087.55
1200,20,1084.04
1205,20.0833333333333,1080.52
1210,20.1666666666667,1076.98
1215,20.25,1073.42
1220,20.3333333333333,1069.85
1225,20.4166666666667,1066.26
1230,20.5,1062.66
1235,20.5833333333333,1059.05
1240,20.6666666666667,1055.42
1245,20.75,1051.77
1250,20.8333333333333,1048.12
1255,20.9166666666667,1044.45
1260,21,1040.77
1265,21.0833333333333,1037.08
1270,21.1666666666667,1033.38
1275,21.25,1029.66
1280,21.3333333333333,1025.94
1285,21.4166666666667,1022.21
1290,21.5,1018.46
1295,21.5833333333333,1014.71
1300,21.6666666666667,1010.95
1305,21.75,1007.18
1310,21.8333333333333,1003.4
1315,21.9166666666667,999.62
1320,22,995.83
1325,22.0833333333333,992.03
1330,22.1666666666667,988.22
1335,22.25,984.41
1340,22.3333333333333,980.59
1345,22.4166666666667,976.77
1350,22.5,972.94
1355,22.5833333333333,969.1
1360,22.6666666666667,965.26
1365,22.75,961.42
1370,22.8333333333333,957.57
1375,22.9166666666667,953.72
1380,23,949.87
1385,23.0833333333333,946.01
1390,23.1666666666667,942.15
1395,23.25,938.29
1400,23.3333333333333,934.43
1405,23.4166666666667,930.56
1410,23.5,926.69
1415,23.5833333333333,922.82
1420,23.6666666666667,918.95
1425,23.75,915.08
1430,23.8333333333333,911.21
1435,23.9166666666667,907.34
1440,24,903.47
1445,24.0833333333333,899.6
1450,24.1666666666667,895.73
1455,24.25,891.86
1460,24.3333333333333,887.99
1465,24.4166666666667,884.12
1470,24.5,880.25
1475,24.5833333333333,876.39
1480,24.6666666666667,872.52
1485,24.75,868.66
1490,24.8333333333333,864.8
1495,24.9166666666667,860.95
1500,25,857.1
1505,25.0833333333333,853.25
1510,25.1666666666667,849.4
1515,25.25,845.56
1520,25.3333333333333,841.72
1525,25.4166666666667,837.88
1530,25.5,834.05
1535,25.5833333333333,830.22
1540,25.6666666666667,826.4
1545,25.75,822.58
1550,25.8333333333333,818.77
1555,25.9166666666667,814.96
1560,26,811.15
1565,26.0833333333333,807.35
1570,26.1666666666667,803.56
1575,26.25,799.77
1580,26.3333333333333,795.99
1585,26.4166666666667,792.22
1590,26.5,788.45
1595,26.5833333333333,784.69
1600,26.6666666666667,780.93
1605,26.75,777.18
1610,26.8333333333333,773.44
1615,26.9166666666667,769.7
1620,27,765.97
1625,27.0833333333333,762.25
1630,27.1666666666667,758.53
1635,27.25,754.83
1640,27.3333333333333,751.13
1645,27.4166666666667,747.43
1650,27.5,743.75
1655,27.5833333333333,740.07
1660,27.6666666666667,736.41
1665,27.75,732.75
1670,27.8333333333333,729.09
1675,27.9166666666667,725.45
1680,28,721.82
1685,28.0833333333333,718.19
1690,28.1666666666667,714.57
1695,28.25,710.96
1700,28.3333333333333,707.37
1705,28.4166666666667,703.78
1710,28.5,700.19
1715,28.5833333333333,696.62
1720,28.6666666666667,693.06
1725,28.75,689.51
1730,28.8333333333333,685.96
1735,28.9166666666667,682.43
1740,29,678.91
1745,29.0833333333333,675.39
1750,29.1666666666667,671.89
1755,29.25,668.39
1760,29.3333333333333,664.91
1765,29.4166666666667,661.44
1770,29.5,657.97
1775,29.5833333333333,654.52
1780,29.6666666666667,651.08
1785,29.75,647.64
1790,29.8333333333333,644.22
1795,29.9166666666667,640.81
1800,30,637.41
1805,30.0833333333333,634.02
1810,30.1666666666667,630.64
1815,30.25,627.27
1820,30.3333333333333,623.91
1825,30.4166666666667,620.57
1830,30.5,617.23
1835,30.5833333333333,613.91
1840,30.6666666666667,610.59
1845,30.75,607.29
1850,30.8333333333333,604
1855,30.9166666666667,600.72
1860,31,597.45
1865,31.0833333333333,594.19
1870,31.1666666666667,590.95
1875,31.25,587.71
1880,31.3333333333333,584.49
1885,31.4166666666667,581.28
1890,31.5,578.08
1895,31.5833333333333,574.89
1900,31.6666666666667,571.71
1905,31.75,568.55
1910,31.8333333333333,565.4
1915,31.9166666666667,562.25
1920,32,559.12
1925,32.0833333333333,556.01
1930,32.1666666666667,552.9
1935,32.25,549.8
1940,32.3333333333333,546.72
1945,32.4166666666667,543.65
1950,32.5,540.59
1955,32.5833333333333,537.55
1960,32.6666666666667,534.51
1965,32.75,531.49
1970,32.8333333333333,528.48
1975,32.9166666666667,525.48
1980,33,522.49
1985,33.0833333333333,519.51
1990,33.1666666666667,516.55
1995,33.25,513.6
2000,33.3333333333333,510.66
2005,33.4166666666667,507.73
2010,33.5,504.82
2015,33.5833333333333,501.92
2020,33.6666666666667,499.03
2025,33.75,496.15
2030,33.8333333333333,493.28
2035,33.9166666666667,490.43
2040,34,487.58
2045,34.0833333333333,484.75
2050,34.1666666666667,481.93
2055,34.25,479.13
2060,34.3333333333333,476.33
2065,34.4166666666667,473.55
2070,34.5,470.78
2075,34.5833333333333,468.02
2080,34.6666666666667,465.28
2085,34.75,462.55
2090,34.8333333333333,459.82
2095,34.9166666666667,457.12
2100,35,454.42
2105,35.0833333333333,451.73
2110,35.1666666666667,449.06
2115,35.25,446.4
2120,35.3333333333333,443.75
2125,35.4166666666667,441.11
2130,35.5,438.49
2135,35.5833333333333,435.88
2140,35.6666666666667,433.27
2145,35.75,430.69
2150,35.8333333333333,428.11
2155,35.9166666666667,425.54
2160,36,422.99
2165,36.0833333333333,420.45
2170,36.1666666666667,417.92
2175,36.25,415.4
2180,36.3333333333333,412.9
2185,36.4166666666667,410.4
2190,36.5,407.92
2195,36.5833333333333,405.45
2200,36.6666666666667,402.99
2205,36.75,400.55
2210,36.8333333333333,398.11
2215,36.9166666666667,395.69
2220,37,393.28
2225,37.0833333333333,390.88
2230,37.1666666666667,388.49
2235,37.25,386.12
2240,37.3333333333333,383.75
2245,37.4166666666667,381.4
2250,37.5,379.06
2255,37.5833333333333,376.73
2260,37.6666666666667,374.41
2265,37.75,372.11
2270,37.8333333333333,369.81
2275,37.9166666666667,367.53
2280,38,365.26
2285,38.0833333333333,363
2290,38.1666666666667,360.75
2295,38.25,358.51
2300,38.3333333333333,356.28
2305,38.4166666666667,354.07
2310,38.5,351.87
2315,38.5833333333333,349.67
2320,38.6666666666667,347.49
2325,38.75,345.32
2330,38.8333333333333,343.16
2335,38.9166666666667,341.02
2340,39,338.88
2345,39.0833333333333,336.75
2350,39.1666666666667,334.64
2355,39.25,332.54
2360,39.3333333333333,330.44
2365,39.4166666666667,328.36
2370,39.5,326.29
2375,39.5833333333333,324.23
2380,39.6666666666667,322.18
2385,39.75,320.14
2390,39.8333333333333,318.12
2395,39.9166666666667,316.1
2400,40,314.09
2405,40.0833333333333,312.1
2410,40.1666666666667,310.12
2415,40.25,308.14
2420,40.3333333333333,306.18
2425,40.4166666666667,304.23
2430,40.5,302.28
2435,40.5833333333333,300.35
2440,40.6666666666667,298.43
2445,40.75,296.52
2450,40.8333333333333,294.62
2455,40.9166666666667,292.73
2460,41,290.85
2465,41.0833333333333,288.98
2470,41.1666666666667,287.12
2475,41.25,285.27
2480,41.3333333333333,283.43
2485,41.4166666666667,281.61
2490,41.5,279.79
2495,41.5833333333333,277.98
2500,41.6666666666667,276.18
2505,41.75,274.39
2510,41.8333333333333,272.61
2515,41.9166666666667,270.84
2520,42,269.09
2525,42.0833333333333,267.34
2530,42.1666666666667,265.6
2535,42.25,263.87
2540,42.3333333333333,262.15
2545,42.4166666666667,260.44
2550,42.5,258.74
2555,42.5833333333333,257.05
2560,42.6666666666667,255.37
2565,42.75,253.7
2570,42.8333333333333,252.03
2575,42.9166666666667,250.38
2580,43,248.74
2585,43.0833333333333,247.11
2590,43.1666666666667,245.48
2595,43.25,243.87
2600,43.3333333333333,242.26
2605,43.4166666666667,240.66
2610,43.5,239.08
2615,43.5833333333333,237.5
2620,43.6666666666667,235.93
2625,43.75,234.37
2630,43.8333333333333,232.82
2635,43.9166666666667,231.28
2640,44,229.74
2645,44.0833333333333,228.22
2650,44.1666666666667,226.7
2655,44.25,225.2
2660,44.3333333333333,223.7
2665,44.4166666666667,222.21
2670,44.5,220.73
2675,44.5833333333333,219.26
2680,44.6666666666667,217.8
2685,44.75,216.34
2690,44.8333333333333,214.9
2695,44.9166666666667,213.46
2700,45,212.03
2705,45.0833333333333,210.61
2710,45.1666666666667,209.2
2715,45.25,207.8
2720,45.3333333333333,206.41
2725,45.4166666666667,205.02
2730,45.5,203.64
2735,45.5833333333333,202.27
2740,45.6666666666667,200.91
2745,45.75,199.56
2750,45.8333333333333,198.21
2755,45.9166666666667,196.87
2760,46,195.55
2765,46.0833333333333,194.22
2770,46.1666666666667,192.91
2775,46.25,191.61
