"time_seconds","time_minutes","Q_m3_s"
0,0,0
218.2,3.64,542.14
436.4,7.27,1013.32
654.5,10.91,1230.19
872.7,14.55,1251.59
1090.9,18.18,1155.89
1309.1,21.82,1004.09
1527.3,25.45,836.14
1745.5,29.09,675.07
1963.6,32.73,532.31
2181.8,36.36,411.99
2400,40,314.09
2618.2,43.64,236.5
2836.4,47.27,176.22
3054.5,50.91,130.14
3272.7,54.55,95.38
3490.9,58.18,69.44
3709.1,61.82,50.25
3927.3,65.45,36.18
4145.5,69.09,25.93
4363.6,72.73,18.51
4581.8,76.36,13.15
4800,80,9.32
5018.2,83.64,6.59
5236.4,87.27,4.64
5454.5,90.91,3.26
5672.7,94.55,2.28
5890.9,98.18,1.6
6109.1,101.82,1.11
6327.3,105.45,0.78
6545.5,109.09,0.54
6763.6,112.73,0.37
6981.8,116.36,0.26
7200,120,0.18
7418.2,123.64,0.12
7636.4,127.27,0.09
7854.5,130.91,0.06
8072.7,134.55,0.04
8290.9,138.18,0.03
8509.1,141.82,0.02
8727.3,145.45,0.01
8945.5,149.09,0.01
9163.6,152.73,0.01
9381.8,156.36,0
9600,160,0
9818.2,163.64,0
10036.4,167.27,0
10254.5,170.91,0
10472.7,174.55,0
10690.9,178.18,0
10909.1,181.82,0
11127.3,185.45,0
11345.5,189.09,0
11563.6,192.73,0
11781.8,196.36,0
12000,200,0
12218.2,203.64,0
12436.4,207.27,0
12654.5,210.91,0
12872.7,214.55,0
13090.9,218.18,0
13309.1,221.82,0
13527.3,225.45,0
13745.5,229.09,0
13963.6,232.73,0
14181.8,236.36,0
14400,240,0
14618.2,243.64,0
14836.4,247.27,0
15054.5,250.91,0
15272.7,254.55,0
15490.9,258.18,0
15709.1,261.82,0
15927.3,265.45,0
16145.5,269.09,0
16363.6,272.73,0
16581.8,276.36,0
16800,280,0
17018.2,283.64,0
17236.4,287.27,0
17454.5,290.91,0
17672.7,294.55,0
17890.9,298.18,0
18109.1,301.82,0
18327.3,305.45,0
18545.5,309.09,0
18763.6,312.73,0
18981.8,316.36,0
19200,320,0
19418.2,323.64,0
19636.4,327.27,0
19854.5,330.91,0
20072.7,334.55,0
20290.9,338.18,0
20509.1,341.82,0
20727.3,345.45,0
20945.5,349.09,0
21163.6,352.73,0
21381.8,356.36,0
21600,360,0
