"lake_id","lake_name","With tier","With tier, no surge","Adopted (min-max)","Adopted, no surge","Rank norm","Z-score","Robust 5-95","Rank range"
"L27","Shisper",1,3,1,10,1,5,1,"1-10"
"L29","Passu",2,1,2,1,9,3,3,"1-9"
"L04","Brep",5,5,3,2,3,2,2,"2-5"
"L01","Reshun",9,9,4,4,4,4,4,"4-9"
"L06","Dir Gole",4,4,5,6,2,1,6,"1-6"
"L02","Booni",3,2,6,5,8,6,5,"2-8"
"L15","Khurdupin",10,10,7,3,11,8,10,"3-11"
"L03","Sonoghor",6,6,8,7,6,7,7,"6-8"
"L28","Ultar",7,7,9,8,5,9,8,"5-9"
"L25","Gulmit",8,8,10,9,7,10,9,"7-10"
"L20","Badswat",11,11,11,11,14,11,11,"11-14"
"L05","Yarkhun Lusht",14,13,12,12,15,14,14,"12-15"
"L19","Hinarchi",15,15,13,13,17,15,16,"13-17"
"L26","Hundur",12,12,14,14,10,12,12,"10-14"
"L24","Gulkin",13,14,15,15,12,13,13,"12-15"
"L22","Ishkoman",16,16,16,16,16,16,17,"16-17"
"L21","Karamber",17,17,17,17,13,17,15,"13-17"
