lake,scenario,Vw_m3,Hb_m,manning_n,bulking_factor,peak_Q_input_m3s,peak_depth_m,wetted_area_km2,peak_velocity_p95,peak_velocity_max,vol_error_1000m3,vol_error_pct
L29,Low,1077092,37.5,0.05,1,893,8.02,1.8,3.26,NA,0.1745,0.0162
L29,Mid_baseline,2154184,37.5,0.05,1,1261,9.61,2.56,4.27,NA,0.05134,0.002383
L29,High,3231276,37.5,0.05,1,1547,10.29,2.79,4.89,NA,0.0913,0.002826
L29,Mid_n04,2154184,37.5,0.04,1,1261,9.58,2.5,5.18,NA,0.02921,0.001356
L29,Mid_n06,2154184,37.5,0.06,1,1261,9.64,2.57,3.64,NA,0.05797,0.002691
L29,Mid_bulk15,2154184,37.5,0.05,1.5,1892,10.34,2.8,5.03,NA,0.09108,0.002819
L29,Mid_bulk20,2154184,37.5,0.05,2,2522,11.88,3.3,4.38,NA,2.6e-4,6.0441e-6
L27,Low,10200000,134,0.05,1,9829,22.41,4.57,7.06,12.47,0.009362,9.17849e-5
L27,Mid_baseline,16600000,134,0.05,1,12546,25.32,7.59,7.66,15.84,1.46e-4,8.816e-7
L27,High,23000000,134,0.05,1,14776,27.37,9.01,8.33,18.4,0.3065,0.001333
L27,Mid_n04,16600000,134,0.04,1,12546,24.76,7.49,9.04,19.32,0.04766,2.87e-4
L27,Mid_n06,16600000,134,0.06,1,12546,25.72,7.24,6.77,13.42,3.73e-4,2.2498e-6
L27,Mid_bulk15,16600000,134,0.05,1.5,18819,28.59,9.47,8.93,19.49,0.3978,0.001598
L27,Mid_bulk20,16600000,134,0.05,2,25092,31.3,10.66,9.95,21.91,0.404,0.001217
