"lake_id","score_5050","rank_5050","score_6040","rank_6040","score_7030","rank_7030"
"L27",0.758428608488845,1,0.74007622012441,1,0.721723831759974,1
"L29",0.727589187873682,2,0.71005181604063,2,0.692514444207579,2
"L04",0.716355869788347,3,0.688008241955219,3,0.65966061412209,3
"L01",0.680539008356168,4,0.64799442645734,5,0.615449844558512,5
"L06",0.666666666666667,5,0.6,7,0.533333333333333,7
"L02",0.661023980982944,6,0.624797875510142,6,0.58857177003734,6
"L15",0.660356931975488,7,0.652368132607451,4,0.644379333239414,4
"L03",0.601489322911455,8,0.547858124995831,8,0.494226927080206,8
"L28",0.595362722463064,9,0.542956844637117,9,0.490550966811171,9
"L25",0.592838982239778,10,0.540937852458489,10,0.4890367226772,10
"L20",0.521902789652585,11,0.484188898388735,11,0.446475007124884,12
"L05",0.480786326780101,12,0.451295728090747,12,0.421805129401393,13
"L19",0.450880410920547,13,0.427370995403104,13,0.403861579885661,14
"L26",0.433612933767601,14,0.346890347014081,15,0.260167760260561,15
"L24",0.418311876104764,15,0.334649500883812,16,0.250987125662859,16
"L22",0.360686918597542,16,0.288549534878034,17,0.216412151158525,17
"L21",0.333333333333333,17,0.4,14,0.466666666666667,11
