scenario,pop_ghs_h4,pop_wp_h4,buildings_h4,roads_h4_km,bridges_h4,power_h4,built_area_h4_m2,h4_area_km2,lake_id,pop_mean_h4
L27_High,210,2640,2,5.13,11,0,16042,10.4,L27,1425
L27_Low,109,2080,0,2.21,10,0,5417,5.782,L27,1094
L27_Mid_bulk15,235,2706,3,5.38,11,0,18128,10.846,L27,1470
L27_Mid_bulk20,319,2856,3,5.94,11,0,24608,11.998,L27,1588
L27_Mid,135,2427,2,4.29,11,0,10523,9.002,L27,1281
L27_Mid_n04,135,2373,2,4.14,11,0,10521,8.96,L27,1254
L27_Mid_n06,131,2386,2,4.46,11,0,8820,8.508,L27,1258
L29_High,1,122,0,0.62,2,0,1009,2.77,L29,62
L29_Low,1,58,0,0.43,2,0,52,1.453,L29,30
L29_Mid_bulk15,1,123,0,0.67,2,0,1009,2.81,L29,62
L29_Mid_bulk20,14,152,0,0.8,2,0,1746,3.452,L29,83
L29_Mid,1,102,0,0.5,2,0,651,2.408,L29,52
L29_Mid_n04,1,104,0,0.5,2,0,656,2.433,L29,52
L29_Mid_n06,1,100,0,0.54,2,0,346,2.377,L29,50
