"scenario","total_wetted_km2","h4_area_km2","h4_fraction","lake_id","scenario_clean","sort_idx"
"L27_Low",6.045,5.782,0.957,"L27","Low",1
"L27_Mid",9.373,9.002,0.96,"L27","Mid",2
"L27_High",10.641,10.4,0.977,"L27","High",3
"L27_Mid_n04",9.268,8.96,0.967,"L27","Mid_n04",4
"L27_Mid_n06",8.851,8.508,0.961,"L27","Mid_n06",5
"L27_Mid_bulk1.5",11.059,10.846,0.981,"L27","Mid_bulk1.5",7
"L27_Mid_bulk2.0",12.124,11.998,0.99,"L27","Mid_bulk2.0",9
"L29_Low",2.041,1.453,0.712,"L29","Low",1
"L29_Mid",2.806,2.408,0.858,"L29","Mid",2
"L29_High",3.033,2.77,0.913,"L29","High",3
"L29_Mid_n04",2.777,2.433,0.876,"L29","Mid_n04",4
"L29_Mid_n06",2.825,2.377,0.841,"L29","Mid_n06",5
"L29_Mid_b15",3.064,2.81,0.917,"L29","Mid_b15",6
"L29_Mid_b20",3.566,3.451,0.968,"L29","Mid_b20",8
