"rank","lake_id","lake_type","h_vuln","h_area","h_surge","hazard_score","exposure_score","final_score"
1,"L27","ice-dammed",0,1,1,0.666666666666667,0.850190550311024,0.758428608488845
2,"L29","moraine-dammed",1,0.919706986125279,0,0.639902328708426,0.815276047038937,0.727589187873682
3,"L04","moraine-dammed (provisional)",1,0.723853191868115,0,0.574617730622705,0.85809400895399,0.716355869788347
4,"L01","moraine-dammed (cirque/proglacial)",1,0.553448296586088,0,0.517816098862029,0.843261917850307,0.680539008356168
5,"L06","supraglacial",1,0,0,0.333333333333333,1,0.666666666666667
6,"L02","supraglacial",1,0.439680360856805,0,0.479893453618935,0.842154508346952,0.661023980982944
7,"L15","moraine dammed / proglacial",1,0.861238805405905,0,0.620412935135302,0.700300928815674,0.660356931975488
8,"L03","moraine-dammed (provisional)",1,0,0,0.333333333333333,0.869645312489577,0.601489322911455
9,"L28","moraine-dammed (provisional)",1,0,0,0.333333333333333,0.857392111592794,0.595362722463064
10,"L25","supraglacial",1,0,0,0.333333333333333,0.852344631146223,0.592838982239778
11,"L20","moraine-dammed (provisional)",1,0,0,0.333333333333333,0.710472245971837,0.521902789652585
12,"L05","uncertain ",1,0,0,0.333333333333333,0.628239320226868,0.480786326780101
13,"L19","moraine-dammed",1,0,0,0.333333333333333,0.568427488507761,0.450880410920547
14,"L26","moraine-dammed (provisional)",0,0,0,0,0.867225867535202,0.433612933767601
15,"L24","supraglacial",0,0,0,0,0.836623752209529,0.418311876104764
16,"L22","moraine-dammed (provisional)",0,0,0,0,0.721373837195084,0.360686918597542
17,"L21","ice-dammed",1,0,1,0.666666666666667,0,0.333333333333333
