lake_id,glacier_name,vulnerability,lat,lon
L01,Reshun Glacier,5,36.1513,72.27
L02,Booni Glacier,5,36.1808,72.3026
L03,Sonoghor Glacier,5,36.213422795,72.4306084
L04,Brep Glacier,5,36.37522655,72.7364292
L05,Yarkhun Lusht Glacier,5,36.8312,73.0145
L06,Dir Gole Glacier Arkary,5,36.2311,71.8106
L07,Chateboi Glacier,2,35.306346415,72.6852649
L08,Chianter Glacier,2,35.265325615,72.159494
L09,Garum Chashma Glacier,2,35.300794844,72.2283073
L10,Mian Koh Glacier 1&2,2,36.179044101,71.7974657
L11,Darkhot Glacier,3,36.776113356,73.33857
L12,Rabat Glacier,3,36.8489,73.6807
L13,Sardar Gol Glacier,3,36.7557,73.0726
L14,Yazghil Glacier,2,36.404378907,72.7327004
L15,Khurdupin Glacier,5,36.03693854,73.1956755
L16,Mushi bar Glacier,3,36.238550743,73.16647
L17,Boq Glacier,3,36.057125885,72.943149
L18,Yeshkuk Glaicer,3,36.105843881,73.0456834
L19,Hinarchi Glacier bagrote,5,36.040847489,74.6630398
L20,Badswat glacier,5,36.491,74.052
L21,karamber Glacier,5,36.616071911,74.2184585
L22,Ishkoman Glacier,4,36.567350252,73.8699655
L23,Tersat Hundur Gl.,3,36.035699054,73.7038286
L24,Gulkin Glacier,4,36.415430344,74.7681026
L25,Gulmit Glacier,5,36.367832652,74.7854798
L26,Hundur Galcier,4,36.124925024,74.7313347
L27,Shishper Glacier,4,36.433153123,74.6224681
L28,Ultar Glacier,5,36.37337337,74.6834373
L29,Passu Glacier,5,36.455613422,74.8780082
