"lake_id","hazard_score","exposure_score","final_score","rank"
"L29",0.97992674653132,0.815276047038937,0.897601396785128,1
"L27",0.75,0.850190550311024,0.800095275155512,2
"L02",0.526586756880868,0.842154508346952,0.68437063261391,3
"L06",0.333333333333333,1,0.666666666666667,4
"L04",0.430963297967029,0.85809400895399,0.644528653460509,5
"L03",0.416666666666667,0.869645312489577,0.643155989578122,6
"L26",0.416666666666667,0.867225867535202,0.641946267100934,7
"L28",0.416666666666667,0.857392111592794,0.63702938912973,8
"L25",0.416666666666667,0.852344631146223,0.634505648906445,9
"L01",0.388362074146522,0.843261917850307,0.615811995998414,10
"L15",0.465309701351476,0.700300928815674,0.582805315083575,11
"L20",0.333333333333333,0.710472245971837,0.521902789652585,12
"L24",0.166666666666667,0.836623752209529,0.501645209438098,13
"L05",0.333333333333333,0.628239320226868,0.480786326780101,14
"L19",0.333333333333333,0.568427488507761,0.450880410920547,15
"L22",0.166666666666667,0.721373837195084,0.444020251930875,16
"L21",0.666666666666667,0,0.333333333333333,17
