"lake_a","area_a_km2","lake_b","area_b_km2","overlap_km2","pct_a","pct_b"
"L20","107.181","L22","101.535","95.874","89.451","94.424"
"L25","102.269","L28","107.125","91.376","89.348","85.298"
"L28","107.125","L27","115.200","89.609","83.649","77.786"
"L02","101.933","L03","104.688","88.924","87.237","84.941"
"L29","103.840","L24","103.990","86.619","83.416","83.296"
"L28","107.125","L26","104.720","83.022","77.500","79.280"
"L26","104.720","L27","115.200","80.895","77.249","70.222"
"L25","102.269","L26","104.720","75.987","74.301","72.563"
"L25","102.269","L27","115.200","73.860","72.222","64.115"
"L25","102.269","L24","103.990","73.190","71.566","70.382"
"L01","108.836","L02","101.933","63.752","58.576","62.543"
"L24","103.990","L28","107.125","62.296","59.906","58.153"
"L29","103.840","L25","102.269","55.819","53.755","54.581"
"L01","108.836","L03","104.688","50.742","46.623","48.470"
"L24","103.990","L26","104.720","46.908","45.108","44.794"
"L29","103.840","L28","107.125","44.926","43.265","41.938"
"L24","103.990","L27","115.200","44.781","43.063","38.872"
"L03","104.688","L04","101.342","41.246","39.399","40.700"
"L29","103.840","L26","104.720","29.537","28.445","28.206"
"L29","103.840","L27","115.200","27.410","26.397","23.794"
"L02","101.933","L04","101.342","25.481","24.998","25.144"
"L04","101.342","L05","111.245","13.408","13.230","12.053"
