"lake_id","scenario_code","manning_n","bulking_factor","volume_m3","peak_q_m3s","depth_max_m","vel_p95_ms","vel_max_ms","wetted_km2"
"L29","Low",0.05,1,1077091.9812453,892.8,12.5,2.13,3.67,2.015
"L29","Mid",0.05,1,2154183.96249061,1261.3,13.38,2.53,4.5,2.786
"L29","High",0.05,1,3231275.94373591,1547.2,13.78,2.85,4.88,3.016
"L29","Mid_n04",0.04,1,2154183.96249061,1261.3,13.3,3.01,5.48,2.75
"L29","Mid_n06",0.06,1,2154183.96249061,1261.3,13.43,2.18,3.82,2.807
"L29","Mid_b15",0.05,1.5,3231275.94373591,1891.9,13.87,2.96,4.99,3.051
"L29","Mid_b20",0.05,2,4308367.92498122,2522.6,14.51,3.31,5.38,3.261
"L29","Mid_b15_n010",0.1,1.5,3231275.94373591,1891.9,14.08,1.69,2.66,3.11
"L29","Mid_b20_n010",0.1,2,4308367.92498122,2522.6,14.47,1.9,2.93,3.263
"L27","Low",0.05,1,10200000,9829,27.35,7.06,12.47,6.021
"L27","Mid",0.05,1,16600000,12546,30.29,7.66,15.84,9.324
"L27","High",0.05,1,2.3e+07,14775.6,32.44,8.33,18.4,10.606
"L27","Mid_n04",0.04,1,16600000,12546,29.97,9.06,19.32,9.222
"L27","Mid_n06",0.06,1,16600000,12546,30.5,6.77,13.42,8.817
"L27","Mid_b15",0.05,1.5,24900000,18819,33.45,8.93,19.49,11.027
"L27","Mid_b20",0.05,2,33200000,25092,35.99,9.96,21.91,12.095
"L27","Mid_b15_n010",0.1,1.5,24900000,18819,34.55,5.31,10.32,10.637
"L27","Mid_b20_n010",0.1,2,33200000,25092,37.47,5.82,11.64,12.383
"L27","p45",0.05,NA,7470000,3763.8,25.54,5.35,9.85,4.942
"L27","p28",0.05,NA,4648000,1828.1,22.97,4.46,7.29,2.41
