"run","depth_max","vel_p95","vel_max","wetted","h4"
"L29_Low",12.5,2.13,3.67,2.041,1.453
"L29_Mid",13.38,2.53,4.5,2.806,2.408
"L29_High",13.78,2.85,4.88,3.033,2.77
"L29_Mid_n04",13.3,3.01,5.48,2.777,2.433
"L29_Mid_n06",13.43,2.18,3.82,2.825,2.377
"L29_Mid_b15",13.87,2.96,4.99,3.064,2.81
"L29_Mid_b20",14.51,3.31,5.38,3.277,3.068
"L27_Low",27.35,7.06,12.47,6.045,5.782
"L27_Mid",30.29,7.66,15.84,9.368,9.004
"L27_High",32.44,8.33,18.4,10.641,10.4
"L27_Mid_n04",29.97,9.04,19.32,9.268,8.96
"L27_Mid_n06",30.5,6.77,13.42,8.851,8.508
"L27_Mid_bulk1.5",33.45,8.93,19.49,11.059,10.846
"L27_Mid_bulk2.0",35.99,9.95,21.91,12.124,11.998
"L27_p45",25.54,5.35,9.85,4.988,4.467
"L27_p28",22.97,4.45,7.29,2.427,2.209
