dataset,version,file_name,url,access_date,license,citation,notes
Federal Flood Commission - Vulnerable GLOF Sites of Pakistan,received from focal point,ndma_vulnerable_glof_sites.csv,personal communication,2026-02-03,"Confirmed for citation by issuing authority (NDMA correspondence, 2026-05-20)","Federal Flood Commission (2026). Vulnerable Glacial Lake Outburst Flood (GLOF) sites in Pakistan. From the desk of Chief Engineer, Federal Flood Commission, Ministry of Water Resources, Government of Pakistan. Received via the National Disaster Management Authority GLOF-II programme.","Official inventory of vulnerable GLOF sites in Pakistan issued by the Federal Flood Commission (FFC), Ministry of Water Resources, and received via the NDMA GLOF-II programme. Source authority: Chief Engineer, FFC (designation cited rather than personal name per source institution guidance). Contains 29 vulnerable glacial lakes with name, point coordinate, and four-level vulnerability rating (2 to 5). Working set in this study filtered to 17 lakes at vulnerability >= 4 within GB and Chitral."
HydroRIVERS v1.0 — Asia,v1.0,HydroRIVERS_v10_as.shp,https://www.hydrosheds.org/products/hydrorivers,2026-04-30,Free for academic and non-commercial use with attribution; see https://www.hydrosheds.org/license for full terms,"Lehner, B., Grill G. (2013). Global river hydrography and network routing: baseline data and new approaches to study the world's large river systems. Hydrological Processes, 27(15): 2171–2186.",Used for hydrographic context. Filtered to Strahler order >= 4 for Figure 1; full network retained for analysis.
"HydroBASINS v1.c (standard) — Asia, Level 8",v1.c,hybas_as_lev08_v1c.shp,https://www.hydrosheds.org/products/hydrobasins,2026-04-30,Free for academic and non-commercial use with attribution; see https://www.hydrosheds.org/license for full terms,"Lehner, B., Grill G. (2013). Global river hydrography and network routing... Hydrological Processes, 27(15): 2171–2186.",Used for downstream corridor delineation in Step 5 via NEXT_DOWN field.
"HydroBASINS v1.c (standard) — Asia, Level 9",v1.c,hybas_as_lev09_v1c.shp,https://www.hydrosheds.org/products/hydrobasins,2026-04-30,Free for academic and non-commercial use with attribution; see https://www.hydrosheds.org/license for full terms,"Lehner, B., Grill G. (2013). Global river hydrography and network routing... Hydrological Processes, 27(15): 2171–2186.",Used for downstream corridor delineation in Step 5 via NEXT_DOWN field. Finer sub-basins than Level 8.
Copernicus DEM GLO-30,2022-1 (GEE COPERNICUS/DEM/GLO30),Copernicus_DEM_GB_Chitral.tif,https://gee-community-catalog.org/projects/glo30/,2026-04-30,Free for any use under ESA Copernicus terms,"European Space Agency, Sinergise (2021). Copernicus Global Digital Elevation Model. Distributed by OpenTopography.","Exported from GEE bbox 70.8-77.5E, 34.8-37.7N. Min elev 516m, max 8570m, mean 4011m. Reprojected to UTM 42N (EPSG:32642)."
HydroRIVERS Asia (extended clip),v1.0,HydroRIVERS_extended_GB_Chitral.gpkg,https://hydrosheds.org/products/hydrorivers,2026-05-09,CC-BY 4.0 (HydroSHEDS license),"Lehner, B., Grill G. (2013). Global river hydrography and network routing: baseline data and new approaches to study the world's large river systems. Hydrological Processes, 27(15): 2171-2186. https://doi.org/10.1002/hyp.9740","Global river network database derived from HydroSHEDS DEM, with attributes for stream order, discharge, and network routing. Re-clipped from HydroRIVERS_v10_as.shp with a 75 km buffer around study area districts to capture downstream segments crossing district boundaries. Needed for Step 5 corridor delineation (especially L21 Karamber)."
GHS-POP R2023A 2025,R2023A epoch 2025,GHS_POP_2025_GB_Chitral.tif,https://human-settlement.emergency.copernicus.eu/ghs_pop2023.php,2026-05-09,CC-BY 4.0,"Schiavina, M., Freire, S., Carioli, A., MacManus, K. (2023). GHS-POP R2023A - GHS population grid multitemporal (1975-2030). European Commission, Joint Research Centre (JRC). doi:10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE","Global Human Settlement Layer population grid at 100 m resolution, modelled by disaggregating census/projection-based population counts using GHS built-up surface as proxy. R2023A release, epoch 2025. Total sum 10.4M for bbox; per-corridor extraction with terra::extract sum."
WorldPop Global 100m Constrained 2020 - Pakistan,"Pakistan 2020, produced 2020-09-16",WorldPop_2020_GB_Chitral.tif,https://doi.org/10.5258/SOTON/WP00684,2026-05-09,CC-BY 4.0,"Bondarenko M., Kerr D., Sorichetta A., and Tatem A. J. (2020). Census/projection-disaggregated gridded population datasets for 189 countries in 2020 using Built-Settlement Growth Model (BSGM) outputs [Data set]. WorldPop, University of Southampton. https://doi.org/10.5258/SOTON/WP00684","WorldPop Global 100m Constrained Individual Countries 2020, Pakistan. Population COUNT per pixel (not density). CRS WGS84, 3 arc-second (~100m) resolution. Census/projection-based for 2020 disaggregated via Random Forests dasymetric mapping (Stevens et al. 2015) within Built-Settlement Growth Model (Nieves et al. 2020) outputs. Constrained: cells with no built settlement are NoData. Total study area bbox sum: 6.1M. Per-corridor extraction via terra::extract sum."
HEC-RAS L29 Passu hydrographs,v1.0,L29_breach_hydrograph_*.csv,Generated by 17_breach_hydrograph_generation.R,2026-05-10,Internal (Open data on Zenodo at submission),Froehlich 2008; Walder 1996; this study,3 base scenarios x 2 lakes; 5-second resolution; 6-hour duration
HEC-RAS L29 Passu simulation results,v1.0,L29_Passu_simulation_results.csv,Output from HEC-RAS 7.0,2026-05-10,Internal (Open data on Zenodo at submission),HEC-RAS 7.0 USACE; Diffusion Wave 2D,7 sensitivity runs: 3 volumes + 3 Manning's n + 2 bulking factors
