"Lake ID","Lake","Coordinates","Vulnerability","Type","Area (m²)","Area source"
"L01","Reshun Glacier","36.151°N, 72.270°E",5,"moraine-dammed (cirque/proglacial)","1,259¹","Manual digitisation"
"L02","Booni","36.181°N, 72.303°E",5,"supraglacial","289","Manual digitisation"
"L03","Sonoghor","36.213°N, 72.431°E",5,"moraine-dammed (provisional)","—","Not visible"
"L04","Brep","36.375°N, 72.736°E",5,"moraine-dammed (provisional)","11,351","Google Earth digitisation"
"L05","Yarkhun Lusht","36.831°N, 73.014°E",5,"uncertain ","—","Not visible"
"L06","Dir Gole","36.231°N, 71.811°E",5,"supraglacial","—","Not visible"
"L15","Khurdupin","36.037°N, 73.196°E",5,"moraine-dammed (proglacial)","66,789","Manual digitisation"
"L19","Hinarchi","36.041°N, 74.663°E",5,"moraine-dammed","—","Not visible"
"L20","Badswat","36.491°N, 74.052°E",5,"moraine-dammed (provisional)","—","Not visible"
"L21","Karamber","36.616°N, 74.218°E",5,"ice-dammed","—","Not visible"
"L22","Ishkoman","36.567°N, 73.870°E",4,"moraine-dammed (provisional)","—","Not visible"
"L24","Gulkin","36.415°N, 74.768°E",4,"supraglacial","—","Not visible"
"L25","Gulmit","36.368°N, 74.785°E",5,"supraglacial","—","Not visible"
"L26","Hundur","36.125°N, 74.731°E",4,"moraine-dammed (provisional)","—","Not visible"
"L27","Shisper","36.433°N, 74.622°E",4,"ice-dammed","400,000","Literature value (Khan et al., 2021)"
"L28","Ultar","36.373°N, 74.683°E",5,"moraine-dammed (provisional)","—","Not visible"
"L29","Passu","36.456°N, 74.878°E",5,"moraine-dammed","141,988","Manual digitisation"
