Rank,Lake ID,Glacier / lake name,Population (GHS / WP / mean),Road length (km),Buildings (n),Bridges (n),Built-up area (m²),Power features (n)*,Hazard score,Exposure score,Final score
1,L29,Passu,"61,717 / 22,187 / 41,952",195,3456,20,1351623,0,0.977,0.815,0.898
2,L27,Shisper,"69,380 / 18,080 / 43,730",199.5,4217,24,2011917,0,0.747,0.85,0.8
3,L02,Booni,"59,722 / 16,679 / 38,200",163.2,4968,27,1840060,1,0.525,0.842,0.685
4,L06,Dir Gole,"218,139 / 41,291 / 129,715",227.7,13683,53,4366884,156,0.333,1,0.667
5,L04,Brep,"71,728 / 15,244 / 43,486",170.2,6297,24,2251846,1,0.428,0.858,0.644
6,L03,Sonoghor,"69,136 / 16,082 / 42,609",184,5990,31,2169525,1,0.417,0.87,0.644
7,L26,Hundur (Bualtar),"86,809 / 22,379 / 54,594",217.4,4632,27,1905002,0,0.417,0.867,0.643
8,L28,Ultar,"72,042 / 21,503 / 46,773",219.4,4980,23,1994093,0,0.417,0.857,0.638
9,L25,Gulmit,"70,817 / 22,157 / 46,487",221,5088,22,1861029,0,0.417,0.852,0.636
10,L01,Reshun,"48,728 / 19,332 / 34,030",163.5,5690,32,1647377,64,0.386,0.843,0.616
11,L15,Khurdopin,"25,674 / 10,824 / 18,249",120.6,1690,15,657658,0,0.462,0.7,0.584
12,L20,Badswat,"35,081 / 7,577 / 21,329",125,389,12,1606194,0,0.333,0.71,0.524
13,L24,Gulkin,"67,098 / 23,619 / 45,358",213.3,4461,20,1643369,0,0.167,0.837,0.503
14,L05,Yarkhun Lusht,"23,033 / 7,665 / 15,349",82.9,689,6,787041,0,0.333,0.628,0.483
15,L19,Hinarchi,"9,402 / 9,630 / 9,516",88,184,9,401176,0,0.333,0.568,0.454
16,L22,Ishkoman,"35,558 / 7,298 / 21,428",128.5,500,13,1630527,0,0.167,0.721,0.446
17,L21,Karamber,"1,695 / 79 / 887",0,0,0,73975,0,0.667,0,0.339
