"Rank","ID","Lake","Population (mean)","Hazard","Exposure","Final"
1,"L27","Shisper","43,730","0.667","0.850","0.758"
2,"L29","Passu","41,952","0.640","0.815","0.728"
3,"L04","Brep","43,486","0.575","0.858","0.716"
4,"L01","Reshun Glacier","34,030","0.518","0.843","0.681"
5,"L06","Dir Gole","129,715","0.333","1.000","0.667"
6,"L02","Booni","38,200","0.480","0.842","0.661"
7,"L15","Khurdupin","18,249","0.620","0.700","0.660"
8,"L03","Sonoghor","42,609","0.333","0.870","0.601"
9,"L28","Ultar","46,773","0.333","0.857","0.595"
10,"L25","Gulmit","46,487","0.333","0.852","0.593"
11,"L20","Badswat","21,329","0.333","0.710","0.522"
12,"L05","Yarkhun Lusht","15,349","0.333","0.628","0.481"
13,"L19","Hinarchi","9,516","0.333","0.568","0.451"
14,"L26","Hundur","54,594","0.000","0.867","0.434"
15,"L24","Gulkin","45,358","0.000","0.837","0.418"
16,"L22","Ishkoman","21,428","0.000","0.721","0.361"
17,"L21","Karamber","887","0.667","0.000","0.333"
