"Lake","Scenario","Volume (×10⁶ m³)","Manning's n","Bulking factor","Peak Q (m³ s⁻¹)","Peak depth (m)","Peak velocity (m s⁻¹) [p95]","Peak velocity (m s⁻¹) [max]","Wetted area (km²)"
"L29 Passu","Low","1.077","0.050","1.000","892.800","12.500","2.130","3.670","2.015"
"L29 Passu","Mid (baseline)","2.154","0.050","1.000","1261.300","13.380","2.530","4.500","2.786"
"L29 Passu","High","3.231","0.050","1.000","1547.200","13.780","2.850","4.880","3.016"
"L29 Passu","Mid (n = 0.04)","2.154","0.040","1.000","1261.300","13.300","3.010","5.480","2.750"
"L29 Passu","Mid (n = 0.06)","2.154","0.060","1.000","1261.300","13.430","2.180","3.820","2.807"
"L29 Passu","Mid (×1.5 bulk, n=0.05)","3.231¹","0.050","1.500","1891.900","13.870","2.960","4.990","3.051"
"L29 Passu","Mid (×2.0 bulk, n=0.05)","4.308¹","0.050","2.000","2522.600","14.510","3.310","5.380","3.261"
"L29 Passu","Mid (×1.5 bulk, n=0.10)","3.231¹","0.100","1.500","1891.900","14.080","1.690","2.660","3.110"
"L29 Passu","Mid (×2.0 bulk, n=0.10)","4.308¹","0.100","2.000","2522.600","14.470","1.900","2.930","3.263"
"L27 Shisper","Low","10.200","0.050","1.000","9829.000","27.350","7.060","12.470","6.021"
"L27 Shisper","Mid (baseline)","16.600","0.050","1.000","12546.000","30.290","7.660","15.840","9.324"
"L27 Shisper","High","23.000","0.050","1.000","14775.600","32.440","8.330","18.400","10.606"
"L27 Shisper","Mid (n = 0.04)","16.600","0.040","1.000","12546.000","29.970","9.060","19.320","9.222"
"L27 Shisper","Mid (n = 0.06)","16.600","0.060","1.000","12546.000","30.500","6.770","13.420","8.817"
"L27 Shisper","Mid (×1.5 bulk, n=0.05)","24.900¹","0.050","1.500","18819.000","33.450","8.930","19.490","11.027"
"L27 Shisper","Mid (×2.0 bulk, n=0.05)","33.200¹","0.050","2.000","25092.000","35.990","9.960","21.910","12.095"
"L27 Shisper","Mid (×1.5 bulk, n=0.10)","24.900¹","0.100","1.500","18819.000","34.550","5.310","10.320","10.637"
"L27 Shisper","Mid (×2.0 bulk, n=0.10)","33.200¹","0.100","2.000","25092.000","37.470","5.820","11.640","12.383"
"L27 Shisper","Partial drainage 45%²","7.470","0.050","NA","3763.800","25.540","5.350","9.850","4.942"
"L27 Shisper","Partial drainage 28%²","4.648","0.050","NA","1828.100","22.970","4.460","7.290","2.410"
