"Lake","Scenario","H4 area (km²)","Population (GHS)","Population (WP)","Population (mean)","Buildings (n)","Roads (km)","Bridges (n)","Built-up area (m²)"
"L27 Shisper","Low","5.782",109,2080,1094,0,"2.210",10,5417
"L27 Shisper","Mid (baseline)","9.002",135,2427,1281,2,"4.290",11,10523
"L27 Shisper","High","10.400",210,2640,1425,2,"5.130",11,16042
"L27 Shisper","Mid (n = 0.04)","8.960",135,2373,1254,2,"4.140",11,10521
"L27 Shisper","Mid (n = 0.06)","8.508",131,2386,1258,2,"4.460",11,8820
"L27 Shisper","Mid (×1.5 bulk, n=0.05)","10.846",235,2706,1470,3,"5.380",11,18128
"L27 Shisper","Mid (×2.0 bulk, n=0.05)","11.998",319,2856,1588,3,"5.940",11,24608
"L27 Shisper","Mid (×1.5 bulk, n=0.10)","10.352",209,2698,1453,3,"5.710",11,13665
"L27 Shisper","Mid (×2.0 bulk, n=0.10)","12.196",319,2954,1636,3,"6.310",11,24345
"L29 Passu","Low","1.453",1,58,30,0,"0.430",2,52
"L29 Passu","Mid (baseline)","2.408",1,102,52,0,"0.500",2,651
"L29 Passu","High","2.770",1,122,62,0,"0.620",2,1009
"L29 Passu","Mid (n = 0.04)","2.433",1,104,52,0,"0.500",2,656
"L29 Passu","Mid (n = 0.06)","2.377",1,100,50,0,"0.540",2,346
"L29 Passu","Mid (×1.5 bulk, n=0.05)","2.810",1,123,62,0,"0.670",2,1009
"L29 Passu","Mid (×2.0 bulk, n=0.05)","3.452",14,152,83,0,"0.800",2,1746
"L29 Passu","Mid (×1.5 bulk, n=0.10)","2.783",1,122,61,0,"0.770",2,1009
"L29 Passu","Mid (×2.0 bulk, n=0.10)","3.048",2,134,68,0,"0.800",2,1066
