"Lake","Class","Area (km²)","Population (GHS)","Population (WP)","Population (mean)","Buildings (n)","Roads (km)","Bridges (n)","Built-up area (m²)"
"L27 Shisper","H1",0.093,0,7,3,0,0.03,0,9
"L27 Shisper","H2",0.079,0,13,7,0,0.05,0,59
"L27 Shisper","H3",0.045,4,5,4,0,0.14,0,588
"L27 Shisper","H4",0.104,0,5,3,0,0.07,0,0
"L27 Shisper","H5",1.142,16,127,72,0,0.84,4,1978
"L27 Shisper","H6",7.905,119,2315,1217,2,3.48,11,8592
"L29 Passu","H1",0.113,0,6,3,0,0,0,0
"L29 Passu","H2",0.116,0,7,4,0,0.08,1,2
"L29 Passu","H3",0.093,0,5,3,0,0,0,353
"L29 Passu","H4",0.276,0,15,8,0,0.07,0,604
"L29 Passu","H5",1.397,0,54,27,0,0.14,2,10
"L29 Passu","H6",0.811,1,36,18,0,0.36,2,42
