"Lake ID","Lake","Coordinates","Identification","Published characterisation","Reference(s)"
"L01","Reshun Glacier","36.151°N, 72.270°E","No published coordinate found","Outburst documented (2013)","Ashraf et al. (2021); Sarwar & Mahmood (2024)"
"L02","Booni","36.181°N, 72.303°E","No published coordinate found","Outburst documented (2010)","Rasul et al. (2011)"
"L03","Sonoghor","36.213°N, 72.431°E","No published coordinate found","None peer-reviewed","—"
"L04","Brep","36.375°N, 72.736°E","No published coordinate found","None peer-reviewed","—"
"L05","Yarkhun Lusht","36.831°N, 73.014°E","No published coordinate found","None peer-reviewed","—"
"L06","Dir Gole","36.231°N, 71.811°E","No published coordinate found","None found","—"
"L15","Khurdupin¹","36.037°N, 73.196°E","206.6 km from published Khurdopin Glacier — different feature","None for this location","Hussain et al. (2020); Shrestha et al. (2023) (HMAGLOFDB); Bazai et al. (2021); Hewitt & Liu (2010)"
"L19","Hinarchi","36.041°N, 74.663°E","No published coordinate found","Outbursts documented (1978–2010)","Ashraf et al. (2021)"
"L20","Badswat","36.491°N, 74.052°E","5.6 km from Badswat village (Shangguan et al. 2021)","Outburst + dam geometry","Shangguan et al. (2021); Shrestha et al. (2023); Hassan et al. (2023)"
"L21","Karamber","36.616°N, 74.218°E","12.4 km from Karambar","Outbursts (11, 1844–1994) + dam geometry","Shrestha et al. (2023); Hewitt & Liu (2010)"
"L22","Ishkoman","36.567°N, 73.870°E","No published coordinate found","None lake-specific","—"
"L24","Gulkin","36.415°N, 74.768°E","10.0 km from Ghulkin","Outbursts documented","Shrestha et al. (2023); conflated with Hussain et al. (2020)"
"L25","Gulmit","36.368°N, 74.785°E","No published coordinate found","None peer-reviewed","Non-peer-reviewed sources only"
"L26","Hundur (Bualtar)¹","36.125°N, 74.731°E","No published coordinate found","No outburst record (Hewitt & Liu 2010 explicitly note this glacier did not dam the valley)","Gardner & Hewitt (1990); Hewitt & Liu (2010)"
"L27","Shisper","36.433°N, 74.622°E","3.9 km from Shisper","Outbursts (13, 1894–2022) + volume","Bhambri et al. (2020); Muhammad et al. (2021); Bazai et al. (2021); Shrestha et al. (2023)"
"L28","Ultar","36.373°N, 74.683°E","No published coordinate found","None found","—"
"L29","Passu","36.456°N, 74.878°E","No published coordinate found","Outbursts (≥2, 2000s) + lake area","Rasul et al. (2011); Ashraf et al. (2021); Muneeb et al. (2021); Mazhar et al. (2024)"
