"Rank","Lake ID","Glacier / lake name","Population (GHS / WP / mean)","Road length (km)","Buildings (n)","Bridges (n)","Built-up area (m²)","Power features (n)*","Hazard score","Exposure score","Final score"
1,"L27","Shisper","69380 / 18080 / 43730","199.457",4217,24,"2011917",0,"0.667","0.850","0.758"
2,"L29","Passu","61717 / 22187 / 41952","195.036",3456,20,"1351623",0,"0.640","0.815","0.728"
3,"L04","Brep","71728 / 15244 / 43486","170.164",6297,24,"2251846",1,"0.575","0.858","0.716"
4,"L01","Reshun Glacier","48728 / 19332 / 34030","163.526",5690,32,"1647377",64,"0.518","0.843","0.681"
5,"L06","Dir Gole","218139 / 41291 / 129715","227.684",13683,53,"4366884",156,"0.333","1.000","0.667"
6,"L02","Booni","59722 / 16679 / 38200","163.153",4968,27,"1840060",1,"0.480","0.842","0.661"
7,"L15","Khurdupin","25674 / 10824 / 18249","120.551",1690,15,"657658",0,"0.620","0.700","0.660"
8,"L03","Sonoghor","69136 / 16082 / 42609","184.032",5990,31,"2169525",1,"0.333","0.870","0.601"
9,"L28","Ultar","72042 / 21503 / 46773","219.411",4980,23,"1994093",0,"0.333","0.857","0.595"
10,"L25","Gulmit","70817 / 22157 / 46487","221.025",5088,22,"1861029",0,"0.333","0.852","0.593"
11,"L20","Badswat","35081 / 7577 / 21329","125.047",389,12,"1606194",0,"0.333","0.710","0.522"
12,"L05","Yarkhun Lusht","23033 / 7665 / 15349","82.887",689,6,"787041",0,"0.333","0.628","0.481"
13,"L19","Hinarchi","9402 / 9630 / 9516","88.002",184,9,"401176",0,"0.333","0.568","0.451"
14,"L26","Hundur (Bualtar)","86809 / 22379 / 54594","217.405",4632,27,"1905002",0,"0.000","0.867","0.434"
15,"L24","Gulkin","67098 / 23619 / 45358","213.251",4461,20,"1643369",0,"0.000","0.837","0.418"
16,"L22","Ishkoman","35558 / 7298 / 21428","128.532",500,13,"1630527",0,"0.000","0.721","0.361"
17,"L21","Karamber","1695 / 79 / 887","0.000",0,0,"73975",0,"0.667","0.000","0.333"
