"Lake ID","Lake","Final score (50/50)","Rank (50/50)","Final score (60/40)","Rank (60/40)","Final score (70/30)","Rank (70/30)"
"L27","Shisper","0.758",1,"0.740",1,"0.722",1
"L29","Passu","0.728",2,"0.710",2,"0.693",2
"L04","Brep","0.716",3,"0.688",3,"0.660",3
"L01","Reshun Glacier","0.681",4,"0.648",5,"0.615",5
"L06","Dir Gole","0.667",5,"0.600",7,"0.533",7
"L02","Booni","0.661",6,"0.625",6,"0.589",6
"L15","Khurdupin","0.660",7,"0.652",4,"0.644",4
"L03","Sonoghor","0.601",8,"0.548",8,"0.494",8
"L28","Ultar","0.595",9,"0.543",9,"0.491",9
"L25","Gulmit","0.593",10,"0.541",10,"0.489",10
"L20","Badswat","0.522",11,"0.484",11,"0.446",12
"L05","Yarkhun Lusht","0.481",12,"0.451",12,"0.422",13
"L19","Hinarchi","0.451",13,"0.427",13,"0.404",14
"L26","Hundur","0.434",14,"0.347",15,"0.260",15
"L24","Gulkin","0.418",15,"0.335",16,"0.251",16
"L22","Ishkoman","0.361",16,"0.289",17,"0.216",17
"L21","Karamber","0.333",17,"0.400",14,"0.467",11
